id,target_name,drugbank_id,category,organism,known_action,actions,pubmed_id,uniprot_id
BE0000533,5-hydroxytryptamine receptor 2C,DB00696,target,Humans,unknown,agonist,12525272,P30939
BE0000393,5-hydroxytryptamine receptor 2B,DB00696,target,Humans,unknown,agonist,12525272,P28335
BE0000342,Alpha-2C adrenergic receptor,DB00696,target,Humans,unknown,,11104741,P41595
BE0002638,Cytochrome P450 3A4,DB00696,target,Humans,unknown,,23707349,P18825
BE0001032,P-glycoprotein 1,DB00696,enzyme,Humans,unknown,substrate|inhibitor,11205892,P08684
BE0003580,Nischarin,DB00696,transporter,Humans,unknown,inhibitor,11961113,P08183
BE0004863,Alpha-1 adrenergic receptors,DB00697,target,Humans,no,agonist,18602099,Q9Y2I1
BE0002361,Probable pyruvate-flavodoxin oxidoreductase,DB00697,enzyme,Humans,unknown,substrate,19754423,P05177
BE0000621,Oxygen-insensitive NADPH nitroreductase,DB00698,target,Escherichia coli (strain K12),yes,potentiator,17139284,P52647
BE0000158,30S ribosomal protein S10,DB00698,target,Escherichia coli (strain K12),yes,potentiator,17139284,P17117
BE0002364,NADPH--cytochrome P450 reductase,DB00698,target,Escherichia coli (strain K12),unknown,inhibitor,29262089,P0A7R5
BE0001067,ATP-binding cassette sub-family G member 2,DB00698,enzyme,Humans,unknown,substrate,18206659,P16435
BE0000703,Bile salt export pump,DB00698,transporter,Humans,unknown,substrate,19754918,Q9UNQ0
BE0001032,P-glycoprotein 1,DB00698,transporter,Humans,no,substrate,24014644,O95342
BE0001069,Canalicular multispecific organic anion transporter 1,DB00698,transporter,Humans,unknown,substrate,19924425,P08183
BE0000501,Alpha-1A adrenergic receptor,DB00698,transporter,Humans,unknown,,19924425,Q92887
BE0002363,Cytochrome P450 2D6,DB00699,target,Humans,yes,antagonist,10027088,P35348
BE0000668,Mineralocorticoid receptor,DB00699,enzyme,Humans,unknown,substrate,8971425,P10635
BE0003542,"Cytochrome P450 11B2, mitochondrial",DB00700,target,Humans,yes,antagonist,14503934,P08235
BE0002638,Cytochrome P450 3A4,DB00700,enzyme,Humans,unknown,inhibitor,16505212,P19099
BE0002362,Cytochrome P450 3A5,DB00700,enzyme,Humans,unknown,substrate,12433801,P08684
BE0004854,Human immunodeficiency virus type 1 protease,DB00700,enzyme,Humans,unknown,substrate,12433801,P20815
BE0003549,Cytochrome P450 2B6,DB00701,target,Human immunodeficiency virus 1,yes,inhibitor,17849388,Q72874
BE0003536,Cytochrome P450 2C19,DB00701,enzyme,Humans,unknown,inhibitor,11159797,P20813
BE0002793,Cytochrome P450 2C9,DB00701,enzyme,Humans,unknown,inhibitor,10722476,P33261
BE0002363,Cytochrome P450 2D6,DB00701,enzyme,Humans,unknown,substrate,10868554,P11712
BE0002362,Cytochrome P450 3A5,DB00701,enzyme,Humans,unknown,substrate,10868554,P10635
BE0002638,Cytochrome P450 3A4,DB00701,enzyme,Humans,unknown,substrate,12584153,P20815
BE0001032,P-glycoprotein 1,DB00701,enzyme,Humans,unknown,substrate|inhibitor|inducer,19515014,P08684
BE0000785,Multidrug resistance-associated protein 1,DB00701,transporter,Humans,unknown,substrate|inducer,10894301,P08183
BE0001004,Solute carrier organic anion transporter family member 1B1,DB00701,transporter,Humans,unknown,inhibitor,12218384,P33527
BE0002639,Pancreatic alpha-amylase,DB00701,transporter,Humans,unknown,inhibitor,21861202,Q9Y6L6
BE0000267,Carbonic anhydrase 1,DB00702,enzyme,Humans,unknown,substrate,19602602,P04746
BE0000535,Carbonic anhydrase 4,DB00703,target,Humans,yes,inhibitor,15110853,P00915
BE0000322,Carbonic anhydrase 2,DB00703,target,Humans,yes,inhibitor,18336310,P22748
BE0003629,Carbonic anhydrase 7,DB00703,target,Humans,yes,inhibitor,18336310,P00918
BE0003625,Carbonic anhydrase 3,DB00703,target,Humans,yes,inhibitor,18336310,P43166
BE0001066,Solute carrier family 22 member 6,DB00703,target,Humans,unknown,inhibitor,17826101,P07451
BE0000770,Mu-type opioid receptor,DB00703,transporter,Humans,unknown,inhibitor,10991988,Q4U2R8
BE0000632,Kappa-type opioid receptor,DB00704,target,Humans,yes,antagonist,11752352,P35372
BE0000420,Delta-type opioid receptor,DB00704,target,Humans,yes,antagonist,11752352,P41145
BE0000156,Sigma non-opioid intracellular receptor 1,DB00704,target,Humans,yes,antagonist,11752352,P41143
BE0003541,UDP-glucuronosyltransferase 1-1,DB00704,target,Humans,unknown,,18354714,Q99720
BE0004136,Reverse transcriptase/RNaseH,DB00704,enzyme,Humans,unknown,substrate,18639530,P22309
BE0002638,Cytochrome P450 3A4,DB00705,target,Human immunodeficiency virus 1,yes,inhibitor,16610780,Q72547
BE0002363,Cytochrome P450 2D6,DB00705,enzyme,Humans,unknown,substrate|inhibitor,19515014,P08684
BE0002362,Cytochrome P450 3A5,DB00705,enzyme,Humans,unknown,substrate|inhibitor,11124228,P10635
BE0003612,Cytochrome P450 3A7,DB00705,enzyme,Humans,unknown,inhibitor,,P20815
BE0002793,Cytochrome P450 2C9,DB00705,enzyme,Humans,unknown,inhibitor,,P24462
BE0003536,Cytochrome P450 2C19,DB00705,enzyme,Humans,unknown,inhibitor,11225565,P11712
BE0000501,Alpha-1A adrenergic receptor,DB00705,enzyme,Humans,unknown,inhibitor,11124228,P33261
BE0000715,Alpha-1D adrenergic receptor,DB00706,target,Humans,yes,antagonist,11752352,P35348
BE0000575,Alpha-1B adrenergic receptor,DB00706,target,Humans,unknown,antagonist,11752352,P25100
BE0002363,Cytochrome P450 2D6,DB00706,target,Humans,unknown,antagonist,12270758,P35368
BE0002638,Cytochrome P450 3A4,DB00706,enzyme,Humans,unknown,substrate,9849639,P10635
BE0000925,Alpha-1-acid glycoprotein 1,DB00706,enzyme,Humans,unknown,substrate,9849639,P08684
BE0000499,Low-density lipoprotein receptor,DB00706,carrier,Humans,no,,10737910,P02763
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00707,target,Humans,unknown,other/unknown,1531856,P01130
BE0000770,Mu-type opioid receptor,DB00707,target,Humans,unknown,antagonist,2544592,P12314
BE0000420,Delta-type opioid receptor,DB00708,target,Humans,yes,agonist,11299311,P35372
BE0000632,Kappa-type opioid receptor,DB00708,target,Humans,unknown,agonist,1330549,P41143
BE0002638,Cytochrome P450 3A4,DB00708,target,Humans,unknown,,8612823,P41145
BE0004136,Reverse transcriptase/RNaseH,DB00708,enzyme,Humans,unknown,substrate,29498947,P08684
BE0004796,DNA,DB00709,target,Human immunodeficiency virus 1,yes,inhibitor,1283519,Q72547
BE0002804,Deoxycytidine kinase,DB00709,target,HBV-F,yes,inhibitor,17139284,Q05486
BE0000637,UMP-CMP kinase,DB00709,enzyme,Humans,unknown,substrate,15963349,P27707
BE0004454,Phosphoglycerate kinase 1,DB00709,enzyme,Humans,unknown,substrate,15963349,P30085
BE0003106,Nucleoside diphosphate kinase A,DB00709,enzyme,Humans,unknown,substrate,15963349,P00558
BE0003281,Nucleoside diphosphate kinase B,DB00709,enzyme,Humans,unknown,substrate,15963349,P15531
BE0000615,Choline-phosphate cytidylyltransferase A,DB00709,enzyme,Humans,unknown,substrate,15963349,P22392
BE0004773,Ethanolamine-phosphate cytidylyltransferase,DB00709,enzyme,Humans,unknown,substrate,16870759,P49585
BE0004774,"5'(3')-deoxyribonucleotidase, cytosolic type",DB00709,enzyme,Humans,unknown,substrate,16870759,Q99447
BE0000530,Serum albumin,DB00709,enzyme,Humans,unknown,substrate,15963349,Q8TCD5
BE0000785,Multidrug resistance-associated protein 1,DB00709,carrier,Humans,unknown,,15814459,P02768
BE0001066,Solute carrier family 22 member 6,DB00709,transporter,Humans,unknown,inhibitor,12218384,P33527
BE0001067,ATP-binding cassette sub-family G member 2,DB00709,transporter,Humans,unknown,substrate,10945832,Q4U2R8
BE0003648,Solute carrier family 22 member 1,DB00709,transporter,Humans,unknown,substrate,12488537,Q9UNQ0
BE0003647,Solute carrier family 22 member 2,DB00709,transporter,Humans,unknown,substrate,27445813,O15245
BE0003650,Solute carrier family 22 member 3,DB00709,transporter,Humans,unknown,substrate,19141712,O15244
BE0001032,P-glycoprotein 1,DB00709,transporter,Humans,unknown,substrate,19141712,O75751
BE0001188,Multidrug resistance-associated protein 4,DB00709,transporter,Humans,unknown,substrate,20504255,P08183
BE0001061,Canalicular multispecific organic anion transporter 2,DB00709,transporter,Humans,unknown,substrate,20504255,O15439
BE0001069,Canalicular multispecific organic anion transporter 1,DB00709,transporter,Humans,unknown,substrate,20504255,O15438
BE0004801,Hydroxylapatite,DB00709,transporter,Humans,unknown,,20504255,Q92887
BE0000776,Farnesyl pyrophosphate synthase,DB00710,target,Humans,yes,inhibitor,17535895,O95749
BE0000248,Arachidonate 5-lipoxygenase,DB00710,target,Humans,yes,inhibitor,11752352,P14324
BE0000017,Prostaglandin G/H synthase 1,DB00711,target,Humans,yes,inhibitor,3004501,P09917
BE0002180,Cholinesterase,DB00711,target,Humans,unknown,inhibitor,15932636,P23219
BE0000262,Prostaglandin G/H synthase 2,DB00711,enzyme,Humans,unknown,inhibitor,2609206,P06276
BE0000017,Prostaglandin G/H synthase 1,DB00712,target,Humans,yes,inhibitor,10091674,P35354
BE0003679,UDP-glucuronosyltransferase 2B7,DB00712,target,Humans,unknown,inhibitor,10358065,P23219
BE0003541,UDP-glucuronosyltransferase 1-1,DB00712,enzyme,Humans,unknown,substrate,19515014,P16662
BE0003677,UDP-glucuronosyltransferase 1-3,DB00712,enzyme,Humans,unknown,substrate|inhibitor,19515014,P22309
BE0003538,UDP-glucuronosyltransferase 1-9,DB00712,enzyme,Humans,unknown,substrate,19515014,P35503
BE0003681,UDP-glucuronosyltransferase 2B4,DB00712,enzyme,Humans,unknown,substrate,19515014,O60656
BE0002793,Cytochrome P450 2C9,DB00712,enzyme,Humans,unknown,substrate,19515014,P06133
BE0000530,Serum albumin,DB00712,enzyme,Humans,unknown,substrate,25144335,P11712
BE0001188,Multidrug resistance-associated protein 4,DB00712,carrier,Humans,no,other/unknown,2867185,P02768
BE0001066,Solute carrier family 22 member 6,DB00712,transporter,Humans,unknown,inhibitor,12835412,O15439
BE0004643,Penicillin-binding protein 3,DB00712,transporter,Humans,unknown,inhibitor,10991954,Q4U2R8
BE0004644,Penicillin-binding protein 2a,DB00713,target,Streptococcus pneumoniae,yes,inhibitor,7447421,Q75Y35
BE0004290,Penicillin-binding protein 1A,DB00713,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,7447421,Q8DNB6
BE0003624,Penicillin-binding protein 2B,DB00713,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,7447421,Q8DR59
BE0004335,Penicillin-binding protein 1b,DB00713,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,7447421,P0A3M6
BE0000576,Penicillin-binding protein 1A,DB00713,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,7447421,Q7CRA4
BE0001018,Solute carrier family 15 member 1,DB00713,target,Clostridium perfringens (strain 13 / Type A),yes,inhibitor,6313857,Q8XJ01
BE0008389,Penicillin-binding protein 2,DB00713,target,Humans,unknown,,15567297,P46059
BE0001134,Solute carrier family 15 member 2,DB00713,target,Staphylococcus aureus,unknown,,18505853,D6R448
BE0001755,Beta-lactamase Toho-1,DB00713,target,Humans,unknown,,21741846,Q16348
BE0001018,Solute carrier family 15 member 1,DB00713,target,Escherichia coli,unknown,substrate,8619581,Q47066
BE0001134,Solute carrier family 15 member 2,DB00713,transporter,Humans,unknown,inhibitor,15567297,P46059
BE0000389,Dopamine D4 receptor,DB00713,transporter,Humans,unknown,inhibitor,15567297,Q16348
BE0000756,Dopamine D2 receptor,DB00714,target,Humans,yes,agonist,15007532,P21917
BE0000581,Dopamine D3 receptor,DB00714,target,Humans,yes,agonist,11343576,P14416
BE0000145,Dopamine D5 receptor,DB00714,target,Humans,yes,agonist,11752352,P35462
BE0000020,Dopamine D1 receptor,DB00714,target,Humans,unknown,agonist,11752352,P21918
BE0000342,Alpha-2C adrenergic receptor,DB00714,target,Humans,unknown,agonist,11752352,P21728
BE0000572,Alpha-2B adrenergic receptor,DB00714,target,Humans,unknown,agonist,18691132,P18825
BE0000291,5-hydroxytryptamine receptor 1A,DB00714,target,Humans,unknown,agonist,18691132,P18089
BE0000451,5-hydroxytryptamine receptor 2A,DB00714,target,Humans,unknown,agonist,18691132,P08908
BE0000393,5-hydroxytryptamine receptor 2B,DB00714,target,Humans,unknown,agonist,18691132,P28223
BE0000533,5-hydroxytryptamine receptor 2C,DB00714,target,Humans,unknown,agonist,18691132,P41595
BE0000289,Alpha-2A adrenergic receptor,DB00714,target,Humans,unknown,agonist,18691132,P28335
BE0000659,5-hydroxytryptamine receptor 1D,DB00714,target,Humans,unknown,agonist,18691132,P08913
BE0000797,5-hydroxytryptamine receptor 1B,DB00714,target,Humans,unknown,agonist,18691132,P28221
BE0002089,Catechol O-methyltransferase,DB00714,target,Humans,unknown,agonist,18691132,P28222
BE0000927,Sulfotransferase 1A1,DB00714,enzyme,Humans,unknown,substrate,9617507,P21964
BE0009673,Sulfotransferase 1A2,DB00714,enzyme,Humans,unknown,substrate,14660177,P50225
BE0004767,Sulfotransferase 1A3/1A4,DB00714,enzyme,Humans,unknown,substrate,14660177,P50226
BE0000951,Estrogen sulfotransferase,DB00714,enzyme,Humans,unknown,substrate,14660177,P0DMM9
BE0002561,Sulfotransferase family cytosolic 1B member 1,DB00714,enzyme,Humans,unknown,substrate,14660177,P49888
BE0003549,Cytochrome P450 2B6,DB00714,enzyme,Humans,unknown,substrate,14660177,O43704
BE0002887,Cytochrome P450 2C8,DB00714,enzyme,Humans,unknown,substrate,,P20813
BE0002638,Cytochrome P450 3A4,DB00714,enzyme,Humans,unknown,substrate,,P10632
BE0002362,Cytochrome P450 3A5,DB00714,enzyme,Humans,unknown,,,P08684
BE0009758,UDP-glucuronosyltransferases (UGTs),DB00714,enzyme,Humans,unknown,substrate,,P20815
BE0000118,Synaptic vesicular amine transporter,DB00714,carrier,Humans,unknown,binder,20225277,P02768
BE0000749,Sodium-dependent serotonin transporter,DB00714,transporter,Humans,unknown,inducer,15178358,Q05940
BE0000486,Sodium-dependent noradrenaline transporter,DB00715,target,Humans,yes,inhibitor,10869387,P31645
BE0000451,5-hydroxytryptamine receptor 2A,DB00715,target,Humans,unknown,inhibitor,11203183,P23975
BE0004863,Alpha-1 adrenergic receptors,DB00715,target,Humans,unknown,agonist,11403977,P28223
BE0000442,Histamine H1 receptor,DB00715,target,Humans,unknown,other/unknown,29274752,P14416
BE0004862,Serotonin Receptors,DB00715,target,Humans,unknown,inhibitor,16620364,P35367
BE0004889,D(1) dopamine receptor,DB00715,target,Humans,unknown,agonist,25342944,P41595
BE0002433,Cytochrome P450 1A2,DB00715,enzyme,Humans,unknown,inhibitor,17101742,P20813
BE0002638,Cytochrome P450 3A4,DB00715,enzyme,Humans,unknown,substrate|inhibitor,11910269,P05177
BE0003536,Cytochrome P450 2C19,DB00715,enzyme,Humans,no,substrate|inhibitor,24966680,P08684
BE0002363,Cytochrome P450 2D6,DB00715,enzyme,Humans,unknown,substrate,19515014,P33261
BE0002793,Cytochrome P450 2C9,DB00715,enzyme,Humans,unknown,substrate|inhibitor,18537577,P10635
BE0001032,P-glycoprotein 1,DB00715,enzyme,Humans,unknown,inhibitor,19515014,P11712
BE0000705,Cysteinyl leukotriene receptor 1,DB00715,transporter,Humans,unknown,inhibitor,12649369,P08183
BE0000099,Cysteinyl leukotriene receptor 2,DB00716,target,Humans,yes,antagonist,16164449,Q9Y271
BE0000995,fMet-Leu-Phe receptor,DB00716,target,Humans,yes,antagonist,17139284,Q9NS75
BE0000296,Prostaglandin D2 receptor,DB00716,target,Humans,unknown,antagonist,1326878,P21462
BE0001120,Heat shock protein HSP 90-alpha,DB00716,target,Humans,unknown,unknown,17139284,Q13258
BE0000557,Progesterone receptor,DB00716,target,Humans,unknown,,12803546,P07900
BE0000132,Androgen receptor,DB00717,target,Humans,yes,agonist,15261304,P06401
BE0000794,Glucocorticoid receptor,DB00717,target,Humans,unknown,agonist,15063480,P10275
BE0002638,Cytochrome P450 3A4,DB00717,target,Humans,unknown,agonist,15063480,P04150
BE0000438,Aldo-keto reductase family 1 member C4,DB00717,enzyme,Humans,unknown,substrate,18356043,P08684
BE0000059,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,DB00717,enzyme,Humans,unknown,substrate,11162927,P17516
BE0004887,3-oxo-5-alpha-steroid 4-dehydrogenase,DB00717,enzyme,Humans,unknown,substrate,11162927,P26439
BE0003536,Cytochrome P450 2C19,DB00717,enzyme,Humans,unknown,substrate,11162927,P51857
BE0002433,Cytochrome P450 1A2,DB00717,enzyme,Humans,unknown,substrate|inducer,,P33261
BE0003336,Cytochrome P450 2A6,DB00717,enzyme,Humans,unknown,substrate,18356043,P05177
BE0000530,Serum albumin,DB00717,enzyme,Humans,unknown,substrate,18356043,P11509
BE0000685,Sex hormone-binding globulin,DB00717,carrier,Humans,unknown,substrate,,P02768
BE0001032,P-glycoprotein 1,DB00717,carrier,Humans,unknown,substrate,15063480,P04278
BE0000312,DNA polymerase/reverse transcriptase,DB00717,transporter,Humans,unknown,inhibitor,15548387,P08183
BE0004477,"Adenylate kinase 2, mitochondrial",DB00718,target,HBV-D,yes,other,19187868,P24024
BE0004780,"Adenylate kinase 4, mitochondrial",DB00718,enzyme,Humans,unknown,substrate,,P54819
BE0003106,Nucleoside diphosphate kinase A,DB00718,enzyme,Humans,unknown,substrate,,P27144
BE0003281,Nucleoside diphosphate kinase B,DB00718,enzyme,Humans,unknown,substrate,,P15531
BE0001066,Solute carrier family 22 member 6,DB00718,enzyme,Humans,unknown,substrate,,P22392
BE0001188,Multidrug resistance-associated protein 4,DB00718,transporter,Humans,unknown,substrate|inhibitor,10929807,Q4U2R8
BE0003639,Multidrug resistance-associated protein 5,DB00718,transporter,Humans,unknown,substrate,10470083,O15439
BE0003650,Solute carrier family 22 member 3,DB00718,transporter,Humans,unknown,substrate,10840050,O15440
BE0000442,Histamine H1 receptor,DB00718,transporter,Humans,unknown,substrate,10196521,O75751
BE0002638,Cytochrome P450 3A4,DB00719,target,Humans,yes,antagonist,9638277,P35367
BE0004801,Hydroxylapatite,DB00719,enzyme,Humans,unknown,inducer,11996015,P08684
BE0000709,ADP/ATP translocase 2,DB00720,target,Humans,yes,inhibitor,11961144,P12235
BE0000624,ADP/ATP translocase 3,DB00720,target,Humans,yes,inhibitor,11961144,P05141
BE0000262,Prostaglandin G/H synthase 2,DB00720,target,Humans,yes,inhibitor,11961144,P12236
BE0000177,Sodium channel protein type 10 subunit alpha,DB00720,enzyme,Humans,unknown,inhibitor,16861295,P35354
BE0000641,"Glutamate receptor ionotropic, NMDA 3A",DB00721,target,Humans,yes,inhibitor,9768788,Q9Y5Y9
BE0000311,5-hydroxytryptamine receptor 3A,DB00721,target,Humans,yes,antagonist,16299047,Q8TCU5
BE0000647,Sodium-dependent dopamine transporter,DB00721,target,Humans,yes,antagonist,7539114,P46098
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,DB00721,target,Humans,yes,inhibitor,10685879,Q01959
BE0004906,Calcium-activated potassium channel,DB00721,target,Humans,unknown,antagonist,20045405,Q15822
BE0009743,60 kDa lysophospholipase,DB00721,target,Humans,unknown,inhibitor,952985,P47712
BE0004909,Monoamine oxidase,DB00721,target,Humans,unknown,inhibitor,952986,Q86U10
BE0009880,DNA (cytosine-5)-methyltransferase 3A,DB00721,target,Humans,unknown,inhibitor,12941824,P26358
BE0002180,Cholinesterase,DB00721,target,Humans,unknown,inhibitor,28926119,Q9Y6K1
BE0000647,Sodium-dependent dopamine transporter,DB00721,enzyme,Humans,unknown,substrate|inhibitor,3675616,P06276
BE0000486,Sodium-dependent noradrenaline transporter,DB00721,transporter,Humans,unknown,inhibitor,10685879,Q01959
BE0000749,Sodium-dependent serotonin transporter,DB00721,transporter,Humans,unknown,inhibitor,10685879,P23975
BE0000221,Angiotensin-converting enzyme,DB00721,transporter,Humans,unknown,inhibitor,10685879,P31645
BE0000270,Renin,DB00722,target,Humans,yes,inhibitor,17618628,P12821
BE0001018,Solute carrier family 15 member 1,DB00722,target,Humans,unknown,inhibitor,25767283,P00797
BE0001134,Solute carrier family 15 member 2,DB00722,transporter,Humans,unknown,substrate|inhibitor,18713951,P46059
BE0000501,Alpha-1A adrenergic receptor,DB00722,transporter,Humans,unknown,substrate,18713951,Q16348
BE0000715,Alpha-1D adrenergic receptor,DB00723,target,Humans,yes,agonist,7875228,P35348
BE0000575,Alpha-1B adrenergic receptor,DB00723,target,Humans,unknown,binder,19493707,P25100
BE0000155,Toll-like receptor 7,DB00723,target,Humans,unknown,agonist,2546049,P35368
BE0003518,Toll-like receptor 8,DB00724,target,Humans,yes,agonist,12470615,Q9NYK1
BE0002638,Cytochrome P450 3A4,DB00724,target,Humans,unknown,agonist,14616353,Q9NR97
BE0000560,Muscarinic acetylcholine receptor M2,DB00724,enzyme,Humans,unknown,substrate,11996015,P08684
BE0000092,Muscarinic acetylcholine receptor M1,DB00725,target,Humans,yes,antagonist,17139284,P08172
BE0000405,Muscarinic acetylcholine receptor M4,DB00725,target,Humans,yes,antagonist,17139284,P11229
BE0000247,Muscarinic acetylcholine receptor M5,DB00725,target,Humans,yes,antagonist,17139284,P08173
BE0000045,Muscarinic acetylcholine receptor M3,DB00725,target,Humans,yes,antagonist,17139284,P08912
BE0000749,Sodium-dependent serotonin transporter,DB00725,target,Humans,yes,antagonist,17139284,P20309
BE0000486,Sodium-dependent noradrenaline transporter,DB00726,target,Humans,yes,inhibitor,16388933,P31645
BE0000647,Sodium-dependent dopamine transporter,DB00726,target,Humans,yes,inhibitor,9537821,P23975
BE0000451,5-hydroxytryptamine receptor 2A,DB00726,target,Humans,unknown,inhibitor,9537821,Q01959
BE0000291,5-hydroxytryptamine receptor 1A,DB00726,target,Humans,unknown,agonist,8863001,P28223
BE0000501,Alpha-1A adrenergic receptor,DB00726,target,Humans,unknown,antagonist,8863001,P08908
BE0000575,Alpha-1B adrenergic receptor,DB00726,target,Humans,unknown,antagonist,8863001,P35348
BE0000756,Dopamine D2 receptor,DB00726,target,Humans,unknown,antagonist,8863001,P35368
BE0000572,Alpha-2B adrenergic receptor,DB00726,target,Humans,unknown,other/unknown,8863001,P14416
BE0000442,Histamine H1 receptor,DB00726,target,Humans,unknown,other/unknown,8863001,P18089
BE0000533,5-hydroxytryptamine receptor 2C,DB00726,target,Humans,unknown,antagonist,8863001,P35367
BE0000311,5-hydroxytryptamine receptor 3A,DB00726,target,Humans,unknown,antagonist,8863001,P28335
BE0000659,5-hydroxytryptamine receptor 1D,DB00726,target,Humans,unknown,binder,8863001,P46098
BE0000289,Alpha-2A adrenergic receptor,DB00726,target,Humans,unknown,binder,8863001,P28221
BE0004889,D(1) dopamine receptor,DB00726,target,Humans,unknown,antagonist,8863001,P08913
BE0002793,Cytochrome P450 2C9,DB00726,target,Rat,unknown,binder,8863001,P08909
BE0002363,Cytochrome P450 2D6,DB00726,enzyme,Humans,unknown,substrate,14520122,P11712
BE0003536,Cytochrome P450 2C19,DB00726,enzyme,Humans,unknown,substrate,8968657,P10635
BE0001032,P-glycoprotein 1,DB00726,enzyme,Humans,unknown,substrate,14520122,P33261
BE0000556,Atrial natriuretic peptide receptor 1,DB00726,transporter,Humans,unknown,substrate,12650738,P08183
BE0000133,"Aldehyde dehydrogenase, mitochondrial",DB00727,target,Humans,unknown,agonist,12890708,P16066
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,DB00727,enzyme,Humans,no,substrate,20543077,P05091
BE0000560,Muscarinic acetylcholine receptor M2,DB00728,target,Humans,yes,antagonist,17139284,Q15822
BE0000311,5-hydroxytryptamine receptor 3A,DB00728,target,Humans,yes,antagonist,17139284,P08172
BE0003648,Solute carrier family 22 member 1,DB00728,target,Humans,unknown,antagonist,10648343,P46098
BE0003642,Solute carrier organic anion transporter family member 1A2,DB00728,transporter,Humans,unknown,substrate,11408531,O15245
BE0000548,Fumarate reductase flavoprotein subunit,DB00728,transporter,Humans,unknown,substrate,10490898,P46721
BE0002433,Cytochrome P450 1A2,DB00730,target,Escherichia coli (strain K12),yes,inhibitor,17139284,P00363
BE0003543,Cytochrome P450 1A1,DB00730,enzyme,Humans,unknown,substrate|inhibitor,19754423,P05177
BE0000207,ATP-binding cassette sub-family C member 8,DB00730,enzyme,Humans,unknown,inducer,11226373,P04798
BE0000215,Peroxisome proliferator-activated receptor gamma,DB00731,target,Humans,yes,inhibitor,10773014,Q09428
BE0002793,Cytochrome P450 2C9,DB00731,target,Humans,unknown,agonist,17082235,P37231
BE0002638,Cytochrome P450 3A4,DB00731,enzyme,Humans,unknown,substrate,15005635,P11712
BE0002362,Cytochrome P450 3A5,DB00731,enzyme,Humans,unknown,substrate,19515014,P08684
BE0003612,Cytochrome P450 3A7,DB00731,enzyme,Humans,unknown,substrate,,P20815
BE0000017,Prostaglandin G/H synthase 1,DB00731,enzyme,Humans,unknown,substrate,,P24462
BE0003538,UDP-glucuronosyltransferase 1-9,DB00731,enzyme,Humans,unknown,substrate,19515014,P23219
BE0002363,Cytochrome P450 2D6,DB00731,enzyme,Humans,unknown,substrate,19515014,O60656
BE0000530,Serum albumin,DB00731,enzyme,Humans,unknown,substrate,15005635,P10635
BE0000925,Alpha-1-acid glycoprotein 1,DB00731,carrier,Humans,unknown,,,P02768
BE0001188,Multidrug resistance-associated protein 4,DB00731,carrier,Humans,unknown,,,P02763
BE0000669,Monocarboxylate transporter 1,DB00731,transporter,Humans,unknown,substrate,17939016,O15439
BE0001018,Solute carrier family 15 member 1,DB00731,transporter,Humans,unknown,substrate,12237260,P53985
BE0001134,Solute carrier family 15 member 2,DB00731,transporter,Humans,unknown,inhibitor,10748266,P46059
BE0001066,Solute carrier family 22 member 6,DB00731,transporter,Humans,unknown,inhibitor,10748266,Q16348
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,DB00731,transporter,Humans,unknown,inhibitor,10854830,Q4U2R8
BE0000426,Acetylcholinesterase,DB00732,target,Humans,yes,antagonist,17139284,Q15822
BE0002180,Cholinesterase,DB00733,target,Humans,yes,activator,19519385,P22303
BE0000451,5-hydroxytryptamine receptor 2A,DB00733,target,Humans,yes,activator,18825528,P06276
BE0000756,Dopamine D2 receptor,DB00734,target,Humans,yes,antagonist,25943458,P28223
BE0000575,Alpha-1B adrenergic receptor,DB00734,target,Humans,yes,antagonist,25943458,P14416
BE0000572,Alpha-2B adrenergic receptor,DB00734,target,Humans,unknown,antagonist,25943458,P35368
BE0000501,Alpha-1A adrenergic receptor,DB00734,target,Humans,unknown,antagonist,25943458,P18089
BE0000342,Alpha-2C adrenergic receptor,DB00734,target,Humans,unknown,antagonist,25943458,P35348
BE0000442,Histamine H1 receptor,DB00734,target,Humans,unknown,antagonist,25943458,P18825
BE0000533,5-hydroxytryptamine receptor 2C,DB00734,target,Humans,unknown,antagonist,25943458,P35367
BE0000659,5-hydroxytryptamine receptor 1D,DB00734,target,Humans,unknown,antagonist,25943458,P28335
BE0000291,5-hydroxytryptamine receptor 1A,DB00734,target,Humans,unknown,antagonist,,P28221
BE0000650,5-hydroxytryptamine receptor 7,DB00734,target,Humans,unknown,antagonist,,P08908
BE0004915,D(2L) dopamine receptor,DB00734,target,Humans,unknown,antagonist,25943458,P34969
BE0002363,Cytochrome P450 2D6,DB00734,target,Humans,unknown,antagonist,,P21728
BE0002638,Cytochrome P450 3A4,DB00734,enzyme,Humans,unknown,substrate|inhibitor,10048600,P10635
BE0000530,Serum albumin,DB00734,enzyme,Humans,unknown,substrate,10048600,P08684
