id,target_name,category,organism,known_action,actions,pubmed_id,uniprot_id,datasource
BE0000262,Prostaglandin G/H synthase 2,target,Humans,yes,inhibitor,11961144,P12236,drugbank
BE0000177,Sodium channel protein type 10 subunit alpha,enzyme,Humans,unknown,inhibitor,16861295,P35354,drugbank
BE0000641,"Glutamate receptor ionotropic, NMDA 3A",target,Humans,yes,inhibitor,9768788,Q9Y5Y9,drugbank
BE0000311,5-hydroxytryptamine receptor 3A,target,Humans,yes,antagonist,16299047,Q8TCU5,drugbank
BE0000647,Sodium-dependent dopamine transporter,target,Humans,yes,antagonist,7539114,P46098,drugbank
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,target,Humans,yes,inhibitor,10685879,Q01959,drugbank
BE0004906,Calcium-activated potassium channel,target,Humans,unknown,antagonist,20045405,Q15822,drugbank
BE0009743,60 kDa lysophospholipase,target,Humans,unknown,inhibitor,952985,P47712,drugbank
BE0004909,Monoamine oxidase,target,Humans,unknown,inhibitor,952986,Q86U10,drugbank
BE0009880,DNA (cytosine-5)-methyltransferase 3A,target,Humans,unknown,inhibitor,12941824,P26358,drugbank
BE0002180,Cholinesterase,target,Humans,unknown,inhibitor,28926119,Q9Y6K1,drugbank
BE0000647,Sodium-dependent dopamine transporter,enzyme,Humans,unknown,substrate|inhibitor,3675616,P06276,drugbank
BE0000486,Sodium-dependent noradrenaline transporter,transporter,Humans,unknown,inhibitor,10685879,Q01959,drugbank
BE0000749,Sodium-dependent serotonin transporter,transporter,Humans,unknown,inhibitor,10685879,P23975,drugbank
BE0000221,Angiotensin-converting enzyme,transporter,Humans,unknown,inhibitor,10685879,P31645,drugbank
BE0000270,Renin,target,Humans,yes,inhibitor,17618628,P12821,drugbank
BE0001018,Solute carrier family 15 member 1,target,Humans,unknown,inhibitor,25767283,P00797,drugbank
BE0001134,Solute carrier family 15 member 2,transporter,Humans,unknown,substrate|inhibitor,18713951,P46059,drugbank
BE0000501,Alpha-1A adrenergic receptor,transporter,Humans,unknown,substrate,18713951,Q16348,drugbank
BE0000715,Alpha-1D adrenergic receptor,target,Humans,yes,agonist,7875228,P35348,drugbank
BE0000575,Alpha-1B adrenergic receptor,target,Humans,unknown,binder,19493707,P25100,drugbank
BE0000155,Toll-like receptor 7,target,Humans,unknown,agonist,2546049,P35368,drugbank
BE0003518,Toll-like receptor 8,target,Humans,yes,agonist,12470615,Q9NYK1,drugbank
BE0002638,Cytochrome P450 3A4,target,Humans,unknown,agonist,14616353,Q9NR97,drugbank
BE0000560,Muscarinic acetylcholine receptor M2,enzyme,Humans,unknown,substrate,11996015,P08684,drugbank
BE0000092,Muscarinic acetylcholine receptor M1,target,Humans,yes,antagonist,17139284,P08172,drugbank
BE0000405,Muscarinic acetylcholine receptor M4,target,Humans,yes,antagonist,17139284,P11229,drugbank
BE0000247,Muscarinic acetylcholine receptor M5,target,Humans,yes,antagonist,17139284,P08173,drugbank
BE0000045,Muscarinic acetylcholine receptor M3,target,Humans,yes,antagonist,17139284,P08912,drugbank
BE0000749,Sodium-dependent serotonin transporter,target,Humans,yes,antagonist,17139284,P20309,drugbank
BE0000486,Sodium-dependent noradrenaline transporter,target,Humans,yes,inhibitor,16388933,P31645,drugbank
BE0000647,Sodium-dependent dopamine transporter,target,Humans,yes,inhibitor,9537821,P23975,drugbank
BE0000451,5-hydroxytryptamine receptor 2A,target,Humans,unknown,inhibitor,9537821,Q01959,drugbank
BE0000291,5-hydroxytryptamine receptor 1A,target,Humans,unknown,agonist,8863001,P28223,drugbank
BE0000501,Alpha-1A adrenergic receptor,target,Humans,unknown,antagonist,8863001,P08908,drugbank
BE0000575,Alpha-1B adrenergic receptor,target,Humans,unknown,antagonist,8863001,P35348,drugbank
BE0000756,Dopamine D2 receptor,target,Humans,unknown,antagonist,8863001,P35368,drugbank
BE0000572,Alpha-2B adrenergic receptor,target,Humans,unknown,other/unknown,8863001,P14416,drugbank
BE0000442,Histamine H1 receptor,target,Humans,unknown,other/unknown,8863001,P18089,drugbank
BE0000533,5-hydroxytryptamine receptor 2C,target,Humans,unknown,antagonist,8863001,P35367,drugbank
BE0000311,5-hydroxytryptamine receptor 3A,target,Humans,unknown,antagonist,8863001,P28335,drugbank
BE0000659,5-hydroxytryptamine receptor 1D,target,Humans,unknown,binder,8863001,P46098,drugbank
BE0000289,Alpha-2A adrenergic receptor,target,Humans,unknown,binder,8863001,P28221,drugbank
BE0004889,D(1) dopamine receptor,target,Humans,unknown,antagonist,8863001,P08913,drugbank
BE0002793,Cytochrome P450 2C9,target,Rat,unknown,binder,8863001,P08909,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,substrate,14520122,P11712,drugbank
BE0003536,Cytochrome P450 2C19,enzyme,Humans,unknown,substrate,8968657,P10635,drugbank
BE0001032,P-glycoprotein 1,enzyme,Humans,unknown,substrate,14520122,P33261,drugbank
BE0000556,Atrial natriuretic peptide receptor 1,transporter,Humans,unknown,substrate,12650738,P08183,drugbank
BE0000133,"Aldehyde dehydrogenase, mitochondrial",target,Humans,unknown,agonist,12890708,P16066,drugbank
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,enzyme,Humans,no,substrate,20543077,P05091,drugbank
BE0000560,Muscarinic acetylcholine receptor M2,target,Humans,yes,antagonist,17139284,Q15822,drugbank
BE0000311,5-hydroxytryptamine receptor 3A,target,Humans,yes,antagonist,17139284,P08172,drugbank
BE0003648,Solute carrier family 22 member 1,target,Humans,unknown,antagonist,10648343,P46098,drugbank
BE0003642,Solute carrier organic anion transporter family member 1A2,transporter,Humans,unknown,substrate,11408531,O15245,drugbank
BE0000548,Fumarate reductase flavoprotein subunit,transporter,Humans,unknown,substrate,10490898,P46721,drugbank
BE0002433,Cytochrome P450 1A2,target,Escherichia coli (strain K12),yes,inhibitor,17139284,P00363,drugbank
BE0003543,Cytochrome P450 1A1,enzyme,Humans,unknown,substrate|inhibitor,19754423,P05177,drugbank
BE0000207,ATP-binding cassette sub-family C member 8,enzyme,Humans,unknown,inducer,11226373,P04798,drugbank
BE0000215,Peroxisome proliferator-activated receptor gamma,target,Humans,yes,inhibitor,10773014,Q09428,drugbank
BE0002793,Cytochrome P450 2C9,target,Humans,unknown,agonist,17082235,P37231,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate,15005635,P11712,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,substrate,19515014,P08684,drugbank
BE0003612,Cytochrome P450 3A7,enzyme,Humans,unknown,substrate,,P20815,drugbank
BE0000017,Prostaglandin G/H synthase 1,enzyme,Humans,unknown,substrate,,P24462,drugbank
BE0003538,UDP-glucuronosyltransferase 1-9,enzyme,Humans,unknown,substrate,19515014,P23219,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,substrate,19515014,O60656,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,15005635,P10635,drugbank
BE0000925,Alpha-1-acid glycoprotein 1,carrier,Humans,unknown,,,P02768,drugbank
BE0001188,Multidrug resistance-associated protein 4,carrier,Humans,unknown,,,P02763,drugbank
BE0000669,Monocarboxylate transporter 1,transporter,Humans,unknown,substrate,17939016,O15439,drugbank
BE0001018,Solute carrier family 15 member 1,transporter,Humans,unknown,substrate,12237260,P53985,drugbank
BE0001134,Solute carrier family 15 member 2,transporter,Humans,unknown,inhibitor,10748266,P46059,drugbank
BE0001066,Solute carrier family 22 member 6,transporter,Humans,unknown,inhibitor,10748266,Q16348,drugbank
BE0000738,Neuronal acetylcholine receptor subunit alpha-2,transporter,Humans,unknown,inhibitor,10854830,Q4U2R8,drugbank
BE0000426,Acetylcholinesterase,target,Humans,yes,antagonist,17139284,Q15822,drugbank
BE0002180,Cholinesterase,target,Humans,yes,activator,19519385,P22303,drugbank
BE0000451,5-hydroxytryptamine receptor 2A,target,Humans,yes,activator,18825528,P06276,drugbank
BE0000756,Dopamine D2 receptor,target,Humans,yes,antagonist,25943458,P28223,drugbank
BE0000575,Alpha-1B adrenergic receptor,target,Humans,yes,antagonist,25943458,P14416,drugbank
BE0000572,Alpha-2B adrenergic receptor,target,Humans,unknown,antagonist,25943458,P35368,drugbank
BE0000501,Alpha-1A adrenergic receptor,target,Humans,unknown,antagonist,25943458,P18089,drugbank
BE0000342,Alpha-2C adrenergic receptor,target,Humans,unknown,antagonist,25943458,P35348,drugbank
BE0000442,Histamine H1 receptor,target,Humans,unknown,antagonist,25943458,P18825,drugbank
BE0000533,5-hydroxytryptamine receptor 2C,target,Humans,unknown,antagonist,25943458,P35367,drugbank
BE0000659,5-hydroxytryptamine receptor 1D,target,Humans,unknown,antagonist,25943458,P28335,drugbank
BE0000291,5-hydroxytryptamine receptor 1A,target,Humans,unknown,antagonist,,P28221,drugbank
BE0000650,5-hydroxytryptamine receptor 7,target,Humans,unknown,antagonist,,P08908,drugbank
BE0004915,D(2L) dopamine receptor,target,Humans,unknown,antagonist,25943458,P34969,drugbank
BE0002363,Cytochrome P450 2D6,target,Humans,unknown,antagonist,,P21728,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate|inhibitor,10048600,P10635,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,10048600,P08684,drugbank
BE0000925,Alpha-1-acid glycoprotein 1,carrier,Humans,unknown,binder,,P02768,drugbank
BE0001032,P-glycoprotein 1,carrier,Humans,unknown,binder,,P02763,drugbank
BE0000577,Squalene monooxygenase,transporter,Humans,unknown,substrate,5389589,P08183,drugbank
BE0000349,Potassium-transporting ATPase alpha chain 1,target,Humans,yes,inhibitor,11752352,Q14534,drugbank
BE0000766,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",target,Humans,yes,inhibitor,19606942,P20648,drugbank
BE0003536,Cytochrome P450 2C19,target,Humans,unknown,,23825361,O94760,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate|inhibitor,16961157,P33261,drugbank
BE0001032,P-glycoprotein 1,enzyme,Humans,unknown,substrate,,P08684,drugbank
BE0003645,Solute carrier family 22 member 8,transporter,Humans,unknown,substrate|inhibitor,11770010,P08183,drugbank
BE0000442,Histamine H1 receptor,transporter,Humans,unknown,inhibitor,25239859,Q8TCC7,drugbank
BE0003848,Nuclear receptor subfamily 1 group I member 3,target,Humans,yes,antagonist,7513381,P35367,drugbank
BE0002363,Cytochrome P450 2D6,target,Humans,unknown,inverse agonist,15272053,Q14994,drugbank
BE0000530,Serum albumin,enzyme,Humans,no,substrate,,P10635,drugbank
BE0002517,tRNA (cytosine(38)-C(5))-methyltransferase,carrier,Humans,no,binder,27767393,P02768,drugbank
BE0004796,DNA,target,Humans,unknown,other,18263620,O14717,drugbank
BE0003543,Cytochrome P450 1A1,enzyme,Humans,unknown,substrate,21299635,P33261,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,substrate,12920490,P04798,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,substrate,12920490,P10635,drugbank
BE0000421,Cytochrome P450 4A11,enzyme,Humans,unknown,substrate,12920490,P20815,drugbank
BE0004644,Penicillin-binding protein 2a,enzyme,Humans,unknown,substrate,12920490,Q02928,drugbank
BE0004335,Penicillin-binding protein 1b,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,1095502,Q8DNB6,drugbank
BE0004643,Penicillin-binding protein 3,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,1095502,Q7CRA4,drugbank
BE0004290,Penicillin-binding protein 1A,target,Streptococcus pneumoniae,yes,inhibitor,1095502,Q75Y35,drugbank
BE0003624,Penicillin-binding protein 2B,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,1095502,Q8DR59,drugbank
BE0000197,Sodium channel protein type 5 subunit alpha,target,Streptococcus pneumoniae (strain ATCC BAA-255 / R6),yes,inhibitor,1095502,P0A3M6,drugbank
BE0000030,Cystine/glutamate transporter,target,Humans,yes,inhibitor,17139284,Q14524,drugbank
BE0003543,Cytochrome P450 1A1,target,Humans,yes,inducer,8813989,Q9UPY5,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,unknown,substrate,11996015,P04798,drugbank
BE0001067,ATP-binding cassette sub-family G member 2,enzyme,Humans,unknown,substrate,17852022,P05177,drugbank
BE0000794,Glucocorticoid receptor,transporter,Humans,unknown,substrate,19146924,Q9UNQ0,drugbank
BE0000422,Annexin A1,target,Humans,yes,agonist,16891588,P04150,drugbank
BE0002638,Cytochrome P450 3A4,target,Humans,yes,agonist,17139284,P04083,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,substrate|inducer,10490933,P08684,drugbank
BE0003612,Cytochrome P450 3A7,enzyme,Humans,unknown,substrate,8274418,P20815,drugbank
BE0000731,"Cytochrome P450 11B1, mitochondrial",enzyme,Humans,unknown,substrate,8274418,P24462,drugbank
BE0003542,"Cytochrome P450 11B2, mitochondrial",enzyme,Humans,unknown,substrate,15356073,P15538,drugbank
BE0002887,Cytochrome P450 2C8,enzyme,Humans,unknown,substrate,15356073,P19099,drugbank
BE0003610,3-oxo-5-beta-steroid 4-dehydrogenase,enzyme,Humans,unknown,inducer,12031713,P10632,drugbank
BE0000585,3-oxo-5-alpha-steroid 4-dehydrogenase 2,enzyme,Humans,unknown,substrate,10487705,P51857,drugbank
BE0000131,Corticosteroid 11-beta-dehydrogenase isozyme 2,enzyme,Humans,unknown,substrate,10487705,P31213,drugbank
BE0000329,Corticosteroid 11-beta-dehydrogenase isozyme 1,enzyme,Humans,unknown,substrate,10487705,P80365,drugbank
BE0003336,Cytochrome P450 2A6,enzyme,Humans,unknown,substrate,10487705,P28845,drugbank
BE0001111,Cytochrome P450 1B1,enzyme,Humans,unknown,inducer,24451000,P11509,drugbank
BE0003549,Cytochrome P450 2B6,enzyme,Humans,unknown,inducer,24451000,Q16678,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,inducer,24451000,P20813,drugbank
BE0003536,Cytochrome P450 2C19,enzyme,Humans,unknown,inducer,24451000,P11712,drugbank
BE0000685,Sex hormone-binding globulin,enzyme,Humans,unknown,inducer,24451000,P33261,drugbank
BE0000209,Corticosteroid-binding globulin,carrier,Humans,unknown,binder,16912126,P04278,drugbank
BE0001032,P-glycoprotein 1,carrier,Humans,unknown,binder,21371536,P08185,drugbank
BE0003642,Solute carrier organic anion transporter family member 1A2,transporter,Humans,unknown,substrate|inducer,12699389,P08183,drugbank
BE0003645,Solute carrier family 22 member 8,transporter,Humans,unknown,inhibitor,8779893,P46721,drugbank
BE0002615,Mannitol dehydrogenase,transporter,Humans,unknown,substrate,19953504,Q8TCC7,drugbank
BE0000530,Serum albumin,enzyme,Pseudomonas fluorescens,unknown,substrate,6821187,O08355,drugbank
BE0000248,Arachidonate 5-lipoxygenase,carrier,Humans,unknown,binder,16118549,P02768,drugbank
BE0000017,Prostaglandin G/H synthase 1,target,Humans,yes,inhibitor,10322101,P09917,drugbank
BE0003538,UDP-glucuronosyltransferase 1-9,enzyme,Humans,unknown,substrate,19515014,P23219,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,substrate,19515014,O60656,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,unknown,substrate,8654206,P11712,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate|inhibitor,19754423,P05177,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,19515014,P08684,drugbank
BE0000647,Sodium-dependent dopamine transporter,carrier,Humans,unknown,,17944539,P02768,drugbank
BE0000575,Alpha-1B adrenergic receptor,target,Humans,yes,inhibitor,15537337,Q01959,drugbank
BE0003536,Cytochrome P450 2C19,target,Humans,unknown,partial agonist,17681557,P35368,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,inhibitor,10820139,P33261,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,substrate|inducer,12537513,P08684,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,no,substrate|inducer,11823757,P20815,drugbank
BE0003549,Cytochrome P450 2B6,enzyme,Humans,unknown,inducer,12537513,P05177,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,inhibitor|inducer,11996015,P20813,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,inhibitor|inducer,10820139,P11712,drugbank
BE0004807,Iron,enzyme,Humans,unknown,inducer,29178272,P10635,drugbank
BE0002204,Xanthine dehydrogenase/oxidase,target,Humans,unknown,,15681799,P05067,drugbank
BE0000092,Muscarinic acetylcholine receptor M1,enzyme,Humans,unknown,inhibitor,2252579,P47989,drugbank
BE0000560,Muscarinic acetylcholine receptor M2,target,Humans,yes,antagonist,14534362,P11229,drugbank
BE0000045,Muscarinic acetylcholine receptor M3,target,Humans,yes,antagonist,15627430,P08172,drugbank
BE0000405,Muscarinic acetylcholine receptor M4,target,Humans,yes,antagonist,18045203,P20309,drugbank
BE0000247,Muscarinic acetylcholine receptor M5,target,Humans,yes,antagonist,18045203,P08173,drugbank
BE0000849,Neuronal acetylcholine receptor subunit alpha-4,target,Humans,yes,antagonist,18045203,P08912,drugbank
BE0000850,Neuronal acetylcholine receptor subunit beta-2,target,Humans,unknown,inhibitor|inducer,15733544,P43681,drugbank
BE0001176,"Sucrase-isomaltase, intestinal",target,Humans,unknown,inhibitor|inducer,15733544,P17787,drugbank
BE0002638,Cytochrome P450 3A4,target,Humans,unknown,inhibitor,20230815,P14410,drugbank
BE0000442,Histamine H1 receptor,enzyme,Humans,no,substrate,16175141,P08684,drugbank
BE0004879,alpha1-acid glycoprotein,target,Humans,yes,antagonist,7513381,P35367,drugbank
BE0000017,Prostaglandin G/H synthase 1,target,Humans,yes,inhibitor,12824918,P35354,drugbank
BE0000412,Retinoic acid receptor RXR-alpha,target,Humans,unknown,inhibitor,12358053,P23219,drugbank
BE0003677,UDP-glucuronosyltransferase 1-3,target,Humans,unknown,other,15699354,P19793,drugbank
BE0003678,UDP-glucuronosyltransferase 1-10,enzyme,Humans,unknown,substrate,19515014,P35503,drugbank
BE0003679,UDP-glucuronosyltransferase 2B7,enzyme,Humans,unknown,substrate,19515014,Q9HAW8,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,substrate,19515014,P16662,drugbank
BE0003538,UDP-glucuronosyltransferase 1-9,enzyme,Humans,unknown,substrate,15370961,P11712,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,19515014,O60656,drugbank
BE0001066,Solute carrier family 22 member 6,carrier,Humans,unknown,,8777148,P02768,drugbank
BE0000197,Sodium channel protein type 5 subunit alpha,transporter,Humans,unknown,inhibitor,10991954,Q4U2R8,drugbank
BE0000442,Histamine H1 receptor,target,Humans,yes,inhibitor,17139284,Q14524,drugbank
BE0000112,Histamine H2 receptor,target,Humans,yes,antagonist,17534605,P35367,drugbank
BE0000501,Alpha-1A adrenergic receptor,target,Humans,yes,antagonist,16131920,P25021,drugbank
BE0000289,Alpha-2A adrenergic receptor,target,Humans,unknown,unknown,8836655,P35348,drugbank
BE0000451,5-hydroxytryptamine receptor 2A,target,Humans,unknown,unknown,8836655,P08913,drugbank
BE0000650,5-hydroxytryptamine receptor 7,target,Humans,unknown,antagonist,10596692,P28223,drugbank
BE0003549,Cytochrome P450 2B6,target,Humans,unknown,antagonist,10596692,P34969,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,substrate,9485522,P20813,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate|inhibitor,9485522,P10635,drugbank
BE0001032,P-glycoprotein 1,enzyme,Humans,unknown,substrate,9485522,P08684,drugbank
BE0002196,Amine oxidase [flavin-containing] B,transporter,Humans,unknown,substrate,15100174,P08183,drugbank
BE0002198,Amine oxidase [flavin-containing] A,target,Humans,yes,inhibitor,11752352,P27338,drugbank
BE0002363,Cytochrome P450 2D6,target,Humans,yes,inhibitor,11752352,P21397,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,inhibitor,15049511,P10635,drugbank
BE0003536,Cytochrome P450 2C19,enzyme,Humans,unknown,inhibitor,15049511,P11712,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,unknown,inhibitor,18094038,P33261,drugbank
BE0003336,Cytochrome P450 2A6,enzyme,Humans,unknown,inhibitor,11181487,P05177,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,inhibitor,9143352,P11509,drugbank
BE0000795,Gamma-aminobutyric acid receptor subunit alpha-1,enzyme,Humans,unknown,inhibitor,11181487,P08684,drugbank
BE0000218,Calcium-transporting ATPase type 2C member 1,target,Humans,yes,agonist,17139284,P14867,drugbank
BE0000433,Glycine receptor subunit alpha-1,target,Humans,yes,inhibitor,17139284,P98194,drugbank
BE0000640,Glutamate receptor 1,target,Humans,yes,agonist,17139284,P23415,drugbank
BE0000781,Potassium voltage-gated channel subfamily A member 1,target,Humans,yes,antagonist,17207582,P42261,drugbank
BE0004797,GABA(A) Receptor,target,Humans,yes,inducer,17139284,Q09470,drugbank
BE0000418,Calmodulin,target,Humans,unknown,unknown,22796646,P30049,drugbank
BE0000849,Neuronal acetylcholine receptor subunit alpha-4,target,Humans,unknown,other/unknown,15845548,P0DP23,drugbank
BE0000850,Neuronal acetylcholine receptor subunit beta-2,target,Humans,unknown,antagonist,20660787,P43681,drugbank
BE0003549,Cytochrome P450 2B6,target,Humans,unknown,antagonist,20660787,P17787,drugbank
BE0000503,NADH-ubiquinone oxidoreductase chain 1,enzyme,Humans,unknown,substrate|inducer,11996015,P20813,drugbank
BE0003533,Cytochrome P450 2E1,enzyme,Humans,unknown,inhibitor,17139284,P03886,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,8214760,P05181,drugbank
BE0000197,Sodium channel protein type 5 subunit alpha,carrier,Humans,unknown,,15791110,P02768,drugbank
BE0000956,Nuclear receptor subfamily 1 group I member 2,target,Humans,yes,inhibitor,17139284,Q14524,drugbank
BE0000537,Thyroxine-binding globulin,target,Humans,unknown,activator,15039302,O75469,drugbank
BE0000078,Retinoic acid receptor RXR-beta,carrier,Humans,no,substrate,,P05543,drugbank
BE0000707,Retinoic acid receptor RXR-gamma,target,Humans,yes,agonist,17184907,P28702,drugbank
BE0000144,Retinoic acid receptor gamma,target,Humans,yes,agonist,17161848,P48443,drugbank
BE0000554,Retinal dehydrogenase 1,target,Humans,yes,agonist,17139284,P13631,drugbank
BE0000697,Retinoic acid-induced protein 3,target,Humans,unknown,,15366004,P00352,drugbank
BE0000513,Retinal dehydrogenase 2,target,Humans,unknown,,15677768,Q8NFJ5,drugbank
BE0000653,Retinoic acid receptor responder protein 1,target,Humans,unknown,,15069081,O94788,drugbank
BE0000663,Retinoic acid receptor alpha,target,Humans,unknown,agonist,15059893,P49788,drugbank
BE0000206,Retinoic acid receptor beta,target,Humans,unknown,,1318502,P10276,drugbank
BE0005828,Lipocalin-1,target,Humans,unknown,,15958702,P10826,drugbank
BE0005829,Odorant-binding protein 2a,target,Humans,unknown,,16461020,P31025,drugbank
BE0000314,Retinol-binding protein 4,target,Humans,unknown,,16461020,Q9NY56,drugbank
BE0004284,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial",target,Humans,unknown,,16461020,P02753,drugbank
BE0000412,Retinoic acid receptor RXR-alpha,target,Humans,unknown,,16757381,Q16654,drugbank
BE0003480,Cytochrome P450 26A1,target,Humans,unknown,,16946489,P19793,drugbank
BE0009044,Cytochrome P450 26B1,target,Humans,unknown,,21906690,O43174,drugbank
BE0009043,Cytochrome P450 26C1,target,Humans,unknown,,21906690,Q9NR63,drugbank
BE0001167,Hematopoietic prostaglandin D synthase,target,Humans,unknown,,21906690,Q6V0L0,drugbank
BE0002477,Carcinoembryonic antigen,target,Humans,unknown,,22043816,O60760,drugbank
BE0003612,Cytochrome P450 3A7,target,Humans,unknown,downregulator,2444456,Q14081,drugbank
BE0003549,Cytochrome P450 2B6,enzyme,Humans,unknown,substrate,11093772,P24462,drugbank
BE0002887,Cytochrome P450 2C8,enzyme,Humans,unknown,substrate,11093772,P20813,drugbank
BE0002793,Cytochrome P450 2C9,enzyme,Humans,unknown,substrate,11093772,P10632,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate,11093772,P11712,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,substrate,11093772,P08684,drugbank
BE0003336,Cytochrome P450 2A6,enzyme,Humans,no,substrate,11093772,P20815,drugbank
BE0003611,Cytochrome P450 2C18,enzyme,Humans,unknown,substrate,11093772,P11509,drugbank
BE0003543,Cytochrome P450 1A1,enzyme,Humans,unknown,substrate,11093772,P33260,drugbank
BE0000421,Cytochrome P450 4A11,enzyme,Humans,unknown,substrate,11093772,P04798,drugbank
BE0000530,Serum albumin,enzyme,Humans,unknown,substrate,11093772,Q02928,drugbank
BE0000508,Cellular retinoic acid-binding protein 1,carrier,Humans,unknown,,16569428,P02768,drugbank
BE0000782,Cellular retinoic acid-binding protein 2,transporter,Humans,unknown,substrate,16109390,P29762,drugbank
BE0000114,D-lactate dehydrogenase,transporter,Humans,unknown,substrate,16109390,P29373,drugbank
BE0002252,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",target,Escherichia coli (strain K12),yes,inhibitor,17139284,P06149,drugbank
BE0000180,"Glutamate dehydrogenase 1, mitochondrial",target,Humans,yes,inhibitor,10487417,O14521,drugbank
BE0000123,Estrogen receptor alpha,target,Humans,unknown,inhibitor,19531491,P00367,drugbank
BE0000311,5-hydroxytryptamine receptor 3A,target,Humans,unknown,,15081572,P03372,drugbank
BE0002793,Cytochrome P450 2C9,target,Humans,yes,antagonist,11752352,P46098,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate,11996015,P11712,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,substrate,8723743,P08684,drugbank
BE0000110,P2Y purinoceptor 12,enzyme,Humans,unknown,substrate,16192915,P10635,drugbank
BE0002793,Cytochrome P450 2C9,target,Humans,yes,antagonist,14668029,Q9H244,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,no,substrate|inhibitor,14563790,P11712,drugbank
BE0002887,Cytochrome P450 2C8,enzyme,Humans,no,substrate,20440227,P05177,drugbank
BE0002705,Liver carboxylesterase 1,enzyme,Humans,no,inhibitor,29171020,P10632,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,no,substrate,23275066,P23141,drugbank
BE0003549,Cytochrome P450 2B6,enzyme,Humans,no,substrate,19515014,P08684,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,no,substrate|inhibitor,14563790,P20813,drugbank
BE0003536,Cytochrome P450 2C19,enzyme,Humans,no,substrate,16754901,P20815,drugbank
BE0000530,Serum albumin,enzyme,Humans,no,substrate,27196064,P33261,drugbank
BE0001032,P-glycoprotein 1,carrier,Humans,no,binder,29474768,P02768,drugbank
BE0003648,Solute carrier family 22 member 1,transporter,Humans,no,substrate,17112805,P08183,drugbank
BE0003647,Solute carrier family 22 member 2,transporter,Humans,no,inhibitor,24530383,O15245,drugbank
BE0004653,30S ribosomal protein S7,transporter,Humans,no,inhibitor,24530383,O15244,drugbank
BE0003708,30S ribosomal protein S14,target,Escherichia coli (strain K12),yes,inhibitor,2200507,P02359,drugbank
BE0004651,30S ribosomal protein S3,target,Escherichia coli (strain K12),yes,inhibitor,2200507,P0AG59,drugbank
BE0004652,30S ribosomal protein S8,target,Escherichia coli (strain K12),yes,inhibitor,2200507,P0A7V3,drugbank
