id,pathway_name,pathway_category,datasource
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000080,Polythiazide Action Pathway,drug_action,drugbank
SMP0000088,Bumetanide Action Pathway,drug_action,drugbank
SMP0000091,Quinethazone Action Pathway,drug_action,drugbank
SMP0000110,Indapamide Action Pathway,drug_action,drugbank
SMP0000121,Trichlormethiazide Action Pathway,drug_action,drugbank
SMP0000134,Spironolactone Action Pathway,drug_action,drugbank
SMP0000135,Eplerenone Action Pathway,drug_action,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000501,gamma-Glutamyltranspeptidase Deficiency,disease,drugbank
SMP0000027,Pantothenate and CoA Biosynthesis,metabolic,drugbank
SMP0000033,Methionine Metabolism,metabolic,drugbank
SMP0000078,Chlorothiazide Action Pathway,drug_action,drugbank
SMP0000090,Bendroflumethiazide Action Pathway,drug_action,drugbank
SMP0000097,Ethacrynic Acid Action Pathway,drug_action,drugbank
SMP0000103,Cyclothiazide Action Pathway,drug_action,drugbank
SMP0000108,Hydroflumethiazide Action Pathway,drug_action,drugbank
SMP0000122,Chlorthalidone Action Pathway,drug_action,drugbank
SMP0000133,Amiloride Action Pathway,drug_action,drugbank
SMP0000136,2-Hydroxyglutric Aciduria (D and L Form),disease,drugbank
SMP0000183,gamma-Glutamyltransferase Deficiency,disease,drugbank
SMP0000184,Glucose Transporter Defect (SGLT2),disease,drugbank
SMP0000193,Iminoglycinuria,disease,drugbank
SMP0000221,Methionine Adenosyltransferase Deficiency,disease,drugbank
SMP0000223,Non-Ketotic Hyperglycinemia,disease,drugbank
SMP0000243,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,disease,drugbank
SMP0000244,Sarcosinemia,disease,drugbank
SMP0000076,Thiamine Metabolism,metabolic,drugbank
SMP0000018,Alpha Linolenic Acid and Linoleic Acid Metabolism,metabolic,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000001,Citrullinemia Type I,disease,drugbank
SMP0000059,Urea Cycle,metabolic,drugbank
SMP0000067,Aspartate Metabolism,metabolic,drugbank
SMP0000175,Canavan Disease,disease,drugbank
SMP0000192,Hypoacetylaspartia,disease,drugbank
SMP0000205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,drugbank
SMP0000207,Prolidase Deficiency (PD),disease,drugbank
SMP0000208,Prolinemia Type II,disease,drugbank
SMP0000357,Argininemia,disease,drugbank
SMP0000363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,drugbank
SMP0000506,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],disease,drugbank
SMP0063777,Nitric Oxide Signaling Pathway,signaling,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000249,Clindamycin Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000255,Kanamycin Action Pathway,drug_action,drugbank
SMP0000256,Neomycin Action Pathway,drug_action,drugbank
SMP0000257,Netilmicin Action Pathway,drug_action,drugbank
SMP0000259,Streptomycin Action Pathway,drug_action,drugbank
SMP0000262,Clomocycline Action Pathway,drug_action,drugbank
SMP0000452,Threonine and 2-Oxobutanoate Degradation,metabolic,drugbank
SMP0000711,Tobramycin Action Pathway,drug_action,drugbank
SMP0000726,Rolitetracycline Action Pathway,drug_action,drugbank
SMP0000252,Telithromycin Action Pathway,drug_action,drugbank
SMP0000253,Amikacin Action Pathway,drug_action,drugbank
SMP0000258,Spectinomycin Action Pathway,drug_action,drugbank
SMP0000290,Demeclocycline Action Pathway,drug_action,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000292,Minocycline Action Pathway,drug_action,drugbank
SMP0000295,Lymecycline Action Pathway,drug_action,drugbank
SMP0000712,Tigecycline Action Pathway,drug_action,drugbank
SMP0000714,Paromomycin Action Pathway,drug_action,drugbank
SMP0000727,Methacycline Action Pathway,drug_action,drugbank
SMP0000728,Lincomycin Action Pathway,drug_action,drugbank
SMP0000010,Nucleotide Sugars Metabolism,metabolic,drugbank
SMP0000013,Cysteine Metabolism,metabolic,drugbank
SMP0000028,Caffeine Metabolism,metabolic,drugbank
SMP0000032,"Valine, Leucine, and Isoleucine Degradation",metabolic,drugbank
SMP0000037,Lysine Degradation,metabolic,drugbank
SMP0000040,Glycolysis,metabolic,drugbank
SMP0000053,Folate Metabolism,metabolic,drugbank
SMP0000063,Tryptophan Metabolism,metabolic,drugbank
SMP0000064,Fructose and Mannose Degradation,metabolic,drugbank
SMP0000068,Androgen and Estrogen Metabolism,metabolic,drugbank
SMP0000124,Glycerol Phosphate Shuttle,metabolic,drugbank
SMP0000129,Malate-Aspartate Shuttle,metabolic,drugbank
SMP0000140,3-Methylglutaconic Aciduria Type III,disease,drugbank
SMP0000141,3-Methylglutaconic Aciduria Type IV,disease,drugbank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,drugbank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,drugbank
SMP0000181,Ethylmalonic Encephalopathy,disease,drugbank
SMP0000185,Glutaric Aciduria Type I,disease,drugbank
SMP0000187,Glycerol Kinase Deficiency,disease,drugbank
SMP0000199,Maple Syrup Urine Disease,disease,drugbank
SMP0000201,Methylmalonic Aciduria Due to Cobalamin-Related Disorders,disease,drugbank
SMP0000214,S-Adenosylhomocysteine (SAH) Hydrolase Deficiency,disease,drugbank
SMP0000220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,drugbank
SMP0000222,Glycine N-Methyltransferase Deficiency,disease,drugbank
SMP0000235,Short-Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency),disease,drugbank
SMP0000236,Propionic Acidemia,disease,drugbank
SMP0000237,3-Methylcrotonyl-CoA Carboxylase Deficiency Type I,disease,drugbank
SMP0000238,Isovaleric Aciduria,disease,drugbank
SMP0000242,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000316,Zellweger Syndrome,disease,drugbank
SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,drugbank
SMP0000053,Folate Metabolism,metabolic,drugbank
SMP0000432,Methotrexate Action Pathway,drug_action,drugbank
SMP0000724,"Folate Malabsorption, Hereditary",disease,drugbank
SMP0000018,Alpha Linolenic Acid and Linoleic Acid Metabolism,metabolic,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000029,Selenoamino Acid Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000501,gamma-Glutamyltranspeptidase Deficiency,disease,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0002298,Glutaminolysis and Cancer,disease,drugbank
SMP0000015,Glutathione Metabolism,metabolic,drugbank
SMP0000055,Alanine Metabolism,metabolic,drugbank
SMP0000063,Tryptophan Metabolism,metabolic,drugbank
SMP0000143,5-Oxoprolinuria,disease,drugbank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,drugbank
SMP0000242,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000249,Clindamycin Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000255,Kanamycin Action Pathway,drug_action,drugbank
SMP0000256,Neomycin Action Pathway,drug_action,drugbank
SMP0000257,Netilmicin Action Pathway,drug_action,drugbank
SMP0000259,Streptomycin Action Pathway,drug_action,drugbank
SMP0000262,Clomocycline Action Pathway,drug_action,drugbank
SMP0000016,Propanoate Metabolism,metabolic,drugbank
SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000139,3-Methylglutaconic Aciduria Type I,disease,drugbank
SMP0000173,beta-Ketothiolase Deficiency,disease,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000524,Isovaleric Acidemia,disease,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,drugbank
SMP0000198,Malonic Aciduria,disease,drugbank
SMP0000200,Methylmalonic Aciduria,disease,drugbank
SMP0000252,Telithromycin Action Pathway,drug_action,drugbank
SMP0000253,Amikacin Action Pathway,drug_action,drugbank
SMP0000258,Spectinomycin Action Pathway,drug_action,drugbank
SMP0000290,Demeclocycline Action Pathway,drug_action,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000292,Minocycline Action Pathway,drug_action,drugbank
SMP0000295,Lymecycline Action Pathway,drug_action,drugbank
SMP0000523,Isobutyryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000712,Tigecycline Action Pathway,drug_action,drugbank
SMP0000714,Paromomycin Action Pathway,drug_action,drugbank
SMP0000727,Methacycline Action Pathway,drug_action,drugbank
SMP0000728,Lincomycin Action Pathway,drug_action,drugbank
SMP0000729,Chloramphenicol Action Pathway,drug_action,drugbank
SMP0000032,"Valine, Leucine, and Isoleucine Degradation",metabolic,drugbank
SMP0000074,Retinol Metabolism,metabolic,drugbank
SMP0000336,Vitamin A Deficiency,disease,drugbank
SMP0000017,Vitamin B6 Metabolism,metabolic,drugbank
SMP0000503,Hypophosphatasia,disease,drugbank
SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000139,3-Methylglutaconic Aciduria Type I,disease,drugbank
SMP0000173,beta-Ketothiolase Deficiency,disease,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000524,Isovaleric Acidemia,disease,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,drugbank
SMP0000200,Methylmalonic Aciduria,disease,drugbank
SMP0000252,Telithromycin Action Pathway,drug_action,drugbank
SMP0000253,Amikacin Action Pathway,drug_action,drugbank
SMP0000258,Spectinomycin Action Pathway,drug_action,drugbank
SMP0000290,Demeclocycline Action Pathway,drug_action,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000292,Minocycline Action Pathway,drug_action,drugbank
SMP0000295,Lymecycline Action Pathway,drug_action,drugbank
SMP0000523,Isobutyryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000712,Tigecycline Action Pathway,drug_action,drugbank
SMP0000714,Paromomycin Action Pathway,drug_action,drugbank
SMP0000727,Methacycline Action Pathway,drug_action,drugbank
SMP0000728,Lincomycin Action Pathway,drug_action,drugbank
SMP0000729,Chloramphenicol Action Pathway,drug_action,drugbank
SMP0000032,"Valine, Leucine, and Isoleucine Degradation",metabolic,drugbank
SMP0000140,3-Methylglutaconic Aciduria Type III,disease,drugbank
SMP0000141,3-Methylglutaconic Aciduria Type IV,disease,drugbank
SMP0000099,Lovastatin Action Pathway,drug_action,drugbank
SMP0000111,Cerivastatin Action Pathway,drug_action,drugbank
SMP0000209,Hypercholesterolemia,disease,drugbank
SMP0000388,"Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2)",disease,drugbank
SMP0000389,Smith-Lemli-Opitz Syndrome (SLOS),disease,drugbank
SMP0000510,Mevalonic Aciduria,disease,drugbank
SMP0000082,Simvastatin Action Pathway,drug_action,drugbank
SMP0000089,Pravastatin Action Pathway,drug_action,drugbank
SMP0000092,Rosuvastatin Action Pathway,drug_action,drugbank
SMP0000107,Zoledronate Action Pathway,drug_action,drugbank
SMP0000117,Pamidronate Action Pathway,drug_action,drugbank
SMP0000119,Fluvastatin Action Pathway,drug_action,drugbank
SMP0000319,Lysosomal Acid Lipase Deficiency (Wolman Disease),disease,drugbank
SMP0000508,Cholesteryl Ester Storage Disease,disease,drugbank
SMP0000023,Steroid Biosynthesis,metabolic,drugbank
SMP0000079,Ibandronate Action Pathway,drug_action,drugbank
SMP0000095,Alendronate Action Pathway,drug_action,drugbank
SMP0000112,Risedronate Action Pathway,drug_action,drugbank
SMP0000131,Atorvastatin Action Pathway,drug_action,drugbank
SMP0000386,Desmosterolosis,disease,drugbank
SMP0000387,CHILD Syndrome,disease,drugbank
SMP0000509,Hyper-IgD Syndrome,disease,drugbank
SMP0000511,Wolman Disease,disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000011,Inositol Metabolism,metabolic,drugbank
SMP0000016,Propanoate Metabolism,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000029,Selenoamino Acid Metabolism,metabolic,drugbank
SMP0000031,Pentose Phosphate Pathway,metabolic,drugbank
SMP0000039,Glycerolipid Metabolism,metabolic,drugbank
SMP0000043,Galactose Metabolism,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000046,Pyrimidine Metabolism,metabolic,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000051,Fatty Acid Metabolism,metabolic,drugbank
SMP0000057,Citric Acid Cycle,metabolic,drugbank
SMP0000058,Starch and Sucrose Metabolism,metabolic,drugbank
SMP0000060,Pyruvate Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000073,Butyrate Metabolism,metabolic,drugbank
SMP0000076,Thiamine Metabolism,metabolic,drugbank
SMP0000082,Simvastatin Action Pathway,drug_action,drugbank
SMP0000089,Pravastatin Action Pathway,drug_action,drugbank
SMP0000092,Rosuvastatin Action Pathway,drug_action,drugbank
SMP0000107,Zoledronate Action Pathway,drug_action,drugbank
SMP0000117,Pamidronate Action Pathway,drug_action,drugbank
SMP0000119,Fluvastatin Action Pathway,drug_action,drugbank
SMP0000123,Betaine Metabolism,metabolic,drugbank
SMP0000128,Gluconeogenesis,metabolic,drugbank
SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0002292,The Oncogenic Action of Succinate,disease,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000249,Clindamycin Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000255,Kanamycin Action Pathway,drug_action,drugbank
SMP0000256,Neomycin Action Pathway,drug_action,drugbank
SMP0000257,Netilmicin Action Pathway,drug_action,drugbank
SMP0000259,Streptomycin Action Pathway,drug_action,drugbank
SMP0000262,Clomocycline Action Pathway,drug_action,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000711,Tobramycin Action Pathway,drug_action,drugbank
SMP0000726,Rolitetracycline Action Pathway,drug_action,drugbank
SMP0002295,The Oncogenic Action of Fumarate,disease,drugbank
SMP0000207,Prolidase Deficiency (PD),disease,drugbank
SMP0000208,Prolinemia Type II,disease,drugbank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,drugbank
SMP0000220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,drugbank
SMP0000512,Xanthinuria Type I,disease,drugbank
SMP0000536,Mitochondrial DNA Depletion Syndrome,disease,drugbank
SMP0000537,Myoadenylate Deaminase Deficiency,disease,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,drugbank
SMP0000364,Lesch-Nyhan Syndrome (LNS),disease,drugbank
SMP0000365,Gout or Kelley-Seegmiller Syndrome,disease,drugbank
SMP0000428,Mercaptopurine Action Pathway,drug_action,drugbank
SMP0000535,Adenine Phosphoribosyltransferase Deficiency (APRT),disease,drugbank
SMP0000144,Adenosine Deaminase Deficiency,disease,drugbank
SMP0000168,AICA-Ribosiduria,disease,drugbank
SMP0000203,Molybdenum Cofactor Deficiency,disease,drugbank
SMP0000427,Azathioprine Action Pathway,drug_action,drugbank
SMP0000430,Thioguanine Action Pathway,drug_action,drugbank
SMP0000513,Xanthinuria Type II,disease,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000713,Arbekacin Action Pathway,drug_action,drugbank
SMP0000730,Troleandomycin Action Pathway,drug_action,drugbank
SMP0000731,Josamycin Action Pathway,drug_action,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000249,Clindamycin Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000255,Kanamycin Action Pathway,drug_action,drugbank
SMP0000256,Neomycin Action Pathway,drug_action,drugbank
SMP0000257,Netilmicin Action Pathway,drug_action,drugbank
SMP0000259,Streptomycin Action Pathway,drug_action,drugbank
SMP0000262,Clomocycline Action Pathway,drug_action,drugbank
SMP0000711,Tobramycin Action Pathway,drug_action,drugbank
SMP0000726,Rolitetracycline Action Pathway,drug_action,drugbank
SMP0000067,Aspartate Metabolism,metabolic,drugbank
SMP0000175,Canavan Disease,disease,drugbank
SMP0000192,Hypoacetylaspartia,disease,drugbank
SMP0000252,Telithromycin Action Pathway,drug_action,drugbank
SMP0000253,Amikacin Action Pathway,drug_action,drugbank
SMP0000258,Spectinomycin Action Pathway,drug_action,drugbank
SMP0000290,Demeclocycline Action Pathway,drug_action,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000292,Minocycline Action Pathway,drug_action,drugbank
SMP0000295,Lymecycline Action Pathway,drug_action,drugbank
SMP0000712,Tigecycline Action Pathway,drug_action,drugbank
SMP0000089,Pravastatin Action Pathway,drug_action,drugbank
SMP0000165,Valsartan Action Pathway,drug_action,drugbank
SMP0000154,Ramipril Action Pathway,drug_action,drugbank
SMP0000597,Ramipril Metabolism Pathway,drug_metabolism,drugbank
SMP0000431,Nicotine Action Pathway,drug_action,drugbank
SMP0000628,Nicotine Metabolism Pathway,drug_metabolism,drugbank
SMP0000301,Esmolol Action Pathway,drug_action,drugbank
SMP0000671,Tramadol Action Action Pathway,drug_action,drugbank
SMP0000637,Tramadol Metabolism Pathway,drug_metabolism,drugbank
SMP0000299,Betaxolol Action Pathway,drug_action,drugbank
SMP0000250,Erythromycin Action Pathway,drug_action,drugbank
SMP0000028,Caffeine Metabolism,metabolic,drugbank
SMP0000247,Azithromycin Action Pathway,drug_action,drugbank
SMP0000261,Ticlopidine Action Pathway,drug_action,drugbank
SMP0000611,Ticlopidine Metabolism Pathway,drug_metabolism,drugbank
SMP0000615,Pantoprazole Metabolism Pathway,drug_metabolism,drugbank
SMP0000228,Pantoprazole Action Pathway,drug_action,drugbank
SMP0000118,Torsemide Action Pathway,drug_action,drugbank
SMP0000424,Citalopram Action Pathway,drug_action,drugbank
SMP0000627,Citalopram Metabolism Pathway,drug_metabolism,drugbank
SMP0000099,Lovastatin Action Pathway,drug_action,drugbank
SMP0000081,Methyclothiazide Action Pathway,drug_action,drugbank
SMP0000642,Nevirapine Metabolism Pathway,drug_metabolism,drugbank
SMP0000743,Nevirapine  Action Pathway,drug_action,drugbank
SMP0000327,Phenytoin (Antiarrhythmic) Action Pathway,drug_action,drugbank
SMP0000326,Fosphenytoin (Antiarrhythmic) Action Pathway,drug_action,drugbank
SMP0000618,Fosphenytoin (Antiarrhythmic) Metabolism Pathway,drug_metabolism,drugbank
SMP0000291,Doxycycline Action Pathway,drug_action,drugbank
SMP0000295,Lymecycline Action Pathway,drug_action,drugbank
SMP0000302,Metoprolol Action Pathway,drug_action,drugbank
SMP0000270,Dicumarol Action Pathway,drug_action,drugbank
SMP0000656,Dicoumarol Action Pathway,drug_action,drugbank
SMP0000378,Isradipine Action Pathway,drug_action,drugbank
SMP0000736,Betazole Action Pathway,drug_action,drugbank
SMP0000163,Olmesartan Action Pathway,drug_action,drugbank
SMP0000028,Caffeine Metabolism,metabolic,drugbank
SMP0000276,Argatroban Action Pathway,drug_action,drugbank
SMP0000716,Thyroid Hormone Synthesis,metabolic,drugbank
SMP0000325,Disopyramide Action Pathway,drug_action,drugbank
SMP0000328,Lidocaine (Antiarrhythmic) Action Pathway,drug_action,drugbank
SMP0000398,Lidocaine (Local Anaesthetic) Action Pathway,drug_action,drugbank
SMP0000620,Lidocaine (Local Anaesthetic) Metabolism Pathway,drug_metabolism,drugbank
SMP0000117,Pamidronate Action Pathway,drug_action,drugbank
SMP0058891,Clemastine H1-Antihistamine Action,drug_action,drugbank
SMP0000636,Venlafaxine Metabolism Pathway,drug_metabolism,drugbank
SMP0000406,Morphine Action Pathway,drug_action,drugbank
SMP0000405,Codeine Action Pathway,drug_action,drugbank
SMP0000623,Heroin Metabolism Pathway,drug_metabolism,drugbank
SMP0000407,Heroin Action Pathway,drug_action,drugbank
SMP0000621,Codeine Metabolism Pathway,drug_metabolism,drugbank
SMP0000622,Morphine Metabolism Pathway,drug_metabolism,drugbank
SMP0000404,Ropivacaine Action Pathway,drug_action,drugbank
SMP0000393,Bupivacaine Action Pathway,drug_action,drugbank
SMP0000630,Tenofovir Metabolism Pathway,drug_metabolism,drugbank
SMP0000287,Tranexamic Acid Action Pathway,drug_action,drugbank
SMP0000332,Ibutilide Action Pathway,drug_action,drugbank
SMP0000438,Vindesine Action Pathway,drug_action,drugbank
SMP0000122,Chlorthalidone Action Pathway,drug_action,drugbank
SMP0000635,Valproic Acid Metabolism Pathway,drug_metabolism,drugbank
SMP0000640,Acetaminophen Metabolism Pathway,drug_metabolism,drugbank
SMP0000710,Acetaminophen  Action Pathway,drug_action,drugbank
SMP0000473,Gefitinib Action Pathway,drug_action,drugbank
SMP0000621,Codeine Metabolism Pathway,drug_metabolism,drugbank
SMP0000405,Codeine Action Pathway,drug_action,drugbank
SMP0000410,Hydromorphone Action Pathway,drug_action,drugbank
SMP0000104,Indomethacin Action Pathway,drug_action,drugbank
SMP0000408,Methadone Action Pathway,drug_action,drugbank
SMP0000624,Methadone Metabolism Pathway,drug_metabolism,drugbank
SMP0000298,Atenolol Action Pathway,drug_action,drugbank
SMP0000613,Omeprazole Metabolism Pathway,drug_metabolism,drugbank
SMP0000226,Omeprazole Action Pathway,drug_action,drugbank
SMP0059058,Cetirizine H1-Antihistamine Action,drug_action,drugbank
SMP0060208,Terfenadine H1-Antihistamine Action,drug_action,drugbank
SMP0000359,Diltiazem Action Pathway,drug_action,drugbank
SMP0000430,Thioguanine Action Pathway,drug_action,drugbank
SMP0000647,Thioguanine Metabolism Pathway,drug_metabolism,drugbank
SMP0058964,Buclizine H1-Antihistamine Action,drug_action,drugbank
SMP0000063,Tryptophan Metabolism,metabolic,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000486,DOPA-Responsive Dystonia,disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000650,Doxorubicin Metabolism Pathway,drug_metabolism,drugbank
SMP0000006,Tyrosine Metabolism,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000218,Tyrosinemia Type I,disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000429,Disulfiram Action Pathway,drug_action,drugbank
SMP0000487,Hyperphenylalaniemia Due to Guanosine Triphosphate Cyclohydrolase Deficiency,disease,drugbank
SMP0000488,Hyperphenylalaninemia Due to 6-Pyruvoyltetrahydropterin Synthase Deficiency (ptps),disease,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000005,Pterine Biosynthesis,metabolic,drugbank
